Processando o arquivo: c:\Users\Rafael Carvalheira\Documents\api_vrp_javav2\codigo_julia_exato\input\vrps_3L.dat
status= OPTIMAL
ID = 3
Numero de clientes = 20
OF (custo) = 159.65000000000003
Best Objective = 159.65000000000003
Best Bound = 159.65000000000003
GAP = 0.0%
x[1, 15, A] = 1.0
x[2, A, A] = 1.0
x[3, 2, A] = 1.0
x[4, 8, A] = 1.0
x[5, 9, A] = 1.0
x[6, 11, A] = 1.0
x[8, 3, A] = 1.0
x[9, 6, A] = 1.0
x[11, A, A] = 1.0
x[14, 5, A] = 1.0
x[15, 4, A] = 1.0
x[16, 1, A] = 1.0
x[17, 14, A] = 1.0
x[18, 16, A] = 1.0
x[A, 17, A] = 1.0
x[A, 18, A] = 1.0
z[1, A, A] = 1.0
z[2, A, A] = 1.0
z[3, A, A] = 1.0
z[4, A, A] = 1.0
z[5, A, A] = 1.0
z[6, A, A] = 1.0
z[8, A, A] = 1.0
z[9, A, A] = 1.0
z[11, A, A] = 1.0
z[14, A, A] = 1.0
z[15, A, A] = 1.0
z[16, A, A] = 1.0
z[17, A, A] = 1.0
z[18, A, A] = 1.0
l[1, 15, A, 2] = 4.0
l[1, 15, A, 3] = 13.0
l[1, 15, A, 4] = 19.0
l[1, 15, A, 8] = 9.0
l[1, 15, A, 15] = 8.0
l[3, 2, A, 2] = 4.0
l[4, 8, A, 2] = 4.0
l[4, 8, A, 3] = 13.0
l[4, 8, A, 8] = 9.0
l[5, 9, A, 6] = 3.0
l[5, 9, A, 9] = 16.0
l[5, 9, A, 11] = 12.0
l[6, 11, A, 11] = 12.0
l[8, 3, A, 2] = 4.0
l[8, 3, A, 3] = 13.0
l[9, 6, A, 6] = 3.0
l[9, 6, A, 11] = 12.0
l[14, 5, A, 5] = 26.0
l[14, 5, A, 6] = 3.0
l[14, 5, A, 9] = 16.0
l[14, 5, A, 11] = 12.0
l[15, 4, A, 2] = 4.0
l[15, 4, A, 3] = 13.0
l[15, 4, A, 4] = 19.0
l[15, 4, A, 8] = 9.0
l[16, 1, A, 1] = 10.0
l[16, 1, A, 2] = 4.0
l[16, 1, A, 3] = 13.0
l[16, 1, A, 4] = 19.0
l[16, 1, A, 8] = 9.0
l[16, 1, A, 15] = 8.0
l[17, 14, A, 5] = 26.0
l[17, 14, A, 6] = 3.0
l[17, 14, A, 9] = 16.0
l[17, 14, A, 11] = 12.0
l[17, 14, A, 14] = 20.0
l[18, 16, A, 1] = 10.0
l[18, 16, A, 2] = 4.0
l[18, 16, A, 3] = 13.0
l[18, 16, A, 4] = 19.0
l[18, 16, A, 8] = 9.0
l[18, 16, A, 15] = 8.0
l[18, 16, A, 16] = 10.0
l[A, 17, A, 5] = 26.0
l[A, 17, A, 6] = 3.0
l[A, 17, A, 9] = 16.0
l[A, 17, A, 11] = 12.0
l[A, 17, A, 14] = 20.0
l[A, 17, A, 17] = 1.0
l[A, 18, A, 1] = 10.0
l[A, 18, A, 2] = 4.0
l[A, 18, A, 3] = 13.0
l[A, 18, A, 4] = 19.0
l[A, 18, A, 8] = 9.0
l[A, 18, A, 15] = 8.0
l[A, 18, A, 16] = 10.0
l[A, 18, A, 18] = 12.0
m[1, 15, A, 1] = 12.0
m[1, 15, A, 16] = 2.0
m[1, 15, A, 18] = 22.0
m[2, A, A, 1] = 12.0
m[2, A, A, 2] = 25.0
m[2, A, A, 3] = 3.0
m[2, A, A, 4] = 8.0
m[2, A, A, 8] = 2.0
m[2, A, A, 15] = 16.0
m[2, A, A, 16] = 2.0
m[2, A, A, 18] = 22.0
m[3, 2, A, 1] = 12.0
m[3, 2, A, 3] = 3.0
m[3, 2, A, 4] = 8.0
m[3, 2, A, 8] = 2.0
m[3, 2, A, 15] = 16.0
m[3, 2, A, 16] = 2.0
m[3, 2, A, 18] = 22.0
m[4, 8, A, 1] = 12.0
m[4, 8, A, 4] = 8.0
m[4, 8, A, 15] = 16.0
m[4, 8, A, 16] = 2.0
m[4, 8, A, 18] = 22.0
m[5, 9, A, 5] = 21.0
m[5, 9, A, 14] = 4.0
m[5, 9, A, 17] = 5.0
m[6, 11, A, 5] = 21.0
m[6, 11, A, 6] = 18.0
m[6, 11, A, 9] = 2.0
m[6, 11, A, 14] = 4.0
m[6, 11, A, 17] = 5.0
m[8, 3, A, 1] = 12.0
m[8, 3, A, 4] = 8.0
m[8, 3, A, 8] = 2.0
m[8, 3, A, 15] = 16.0
m[8, 3, A, 16] = 2.0
m[8, 3, A, 18] = 22.0
m[9, 6, A, 5] = 21.0
m[9, 6, A, 9] = 2.0
m[9, 6, A, 14] = 4.0
m[9, 6, A, 17] = 5.0
m[11, A, A, 5] = 21.0
m[11, A, A, 6] = 18.0
m[11, A, A, 9] = 2.0
m[11, A, A, 11] = 23.0
m[11, A, A, 14] = 4.0
m[11, A, A, 17] = 5.0
m[14, 5, A, 14] = 4.0
m[14, 5, A, 17] = 5.0
m[15, 4, A, 1] = 12.0
m[15, 4, A, 15] = 16.0
m[15, 4, A, 16] = 2.0
m[15, 4, A, 18] = 22.0
m[16, 1, A, 16] = 2.0
m[16, 1, A, 18] = 22.0
m[17, 14, A, 17] = 5.0
m[18, 16, A, 18] = 22.0
Tempo de execução: 138.8867798 segundos
